Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,1day,2day,3day,4day,5day
2023-01-03 00:00:00-05:00,129.21547004483958,129.83039913022134,123.1553947590061,124.04804229736328,112117500,0.0,0.0,124.04804229736328,124.04804229736328,124.04804229736328,124.04804229736328,124.04804229736328
2023-01-04 00:00:00-05:00,125.8531828144326,127.60872440443852,124.05797472292748,125.3275146484375,89113600,0.0,0.0,125.3275146484375,125.3275146484375,125.3275146484375,125.3275146484375,125.3275146484375
2023-01-05 00:00:00-05:00,126.0912109098366,126.72598082854797,123.74058115578352,123.99845123291016,80962700,0.0,0.0,123.99845123291016,123.99845123291016,123.99845123291016,123.99845123291016,123.99845123291016
2023-01-06 00:00:00-05:00,124.98037166000861,129.2253909088619,123.86952048030051,128.5608673095703,87754700,0.0,0.0,128.5608673095703,128.5608673095703,128.5608673095703,128.5608673095703,128.5608673095703
2023-01-09 00:00:00-05:00,129.40390982681552,132.31988903474692,128.82864728413932,129.08651733398438,70790800,0.0,0.0,129.08651733398438,129.08651733398438,129.08651733398438,129.08651733398438,129.08651733398438
2023-01-10 00:00:00-05:00,129.19564334674527,130.18747237173395,127.0731298386339,129.66180419921875,63896200,0.0,0.0,129.66180419921875,129.66180419921875,129.66180419921875,129.66180419921875,129.66180419921875
2023-01-11 00:00:00-05:00,130.17755901907103,132.41908715847225,129.39402075141217,132.39926147460938,69458900,0.0,0.0,132.39926147460938,132.39926147460938,132.39926147460938,132.39926147460938,132.39926147460938
2023-01-12 00:00:00-05:00,132.78607663070633,133.16296137446338,130.36601135324176,132.31991577148438,71379600,0.0,0.0,132.31991577148438,132.31991577148438,132.31991577148438,132.31991577148438,132.31991577148438
2023-01-13 00:00:00-05:00,130.95120044953066,133.81758606546552,130.5842285097887,133.6588897705078,57809700,0.0,0.0,133.6588897705078,133.6588897705078,133.6588897705078,133.6588897705078,133.6588897705078
2023-01-17 00:00:00-05:00,133.72829294399517,136.16818357276352,133.03401573800855,134.8292236328125,63646600,0.0,0.0,134.8292236328125,134.8292236328125,134.8292236328125,134.8292236328125,134.8292236328125
2023-01-18 00:00:00-05:00,135.70203924835408,137.47740634502057,133.92665701757943,134.10519409179688,69672800,0.0,0.0,134.10519409179688,134.10519409179688,134.10519409179688,134.10519409179688,134.10519409179688
2023-01-19 00:00:00-05:00,132.98442452300233,135.13669148132752,132.67695997668562,134.16470336914062,58280400,0.0,0.0,134.16470336914062,134.16470336914062,134.16470336914062,134.16470336914062,134.16470336914062
2023-01-20 00:00:00-05:00,134.17462060326434,136.89223740407417,133.12328432629752,136.7434539794922,80223600,0.0,0.0,136.7434539794922,136.7434539794922,136.7434539794922,136.7434539794922,136.7434539794922
2023-01-23 00:00:00-05:00,136.99141142811652,142.14893413929423,136.77320784568477,139.9569854736328,81760300,0.0,0.0,139.9569854736328,139.9569854736328,139.9569854736328,139.9569854736328,139.9569854736328
2023-01-24 00:00:00-05:00,139.16352535964495,141.99024407935778,139.153612517868,141.36538696289062,66435100,0.0,0.0,141.36538696289062,141.36538696289062,141.36538696289062,141.36538696289062,141.36538696289062
2023-01-25 00:00:00-05:00,139.73877617563352,141.26618605607322,137.6757702023649,140.7008514404297,65799300,0.0,0.0,140.7008514404297,140.7008514404297,140.7008514404297,140.7008514404297,140.7008514404297
